label,class,image,dataset
8,stadium,00001.jpg,train
3,oil_gas_field,00002.jpg,train
0,car,00003.jpg,train
6,runway_mark,00004.jpg,train
5,plane,00005.jpg,train
1,harbor,00006.jpg,train
6,runway_mark,00007.jpg,train
2,helicopter,00008.jpg,train
4,parking_lot,00009.jpg,train
2,helicopter,00010.jpg,train
4,parking_lot,00011.jpg,train
8,stadium,00012.jpg,train
1,harbor,00013.jpg,train
6,runway_mark,00014.jpg,train
0,car,00015.jpg,train
4,parking_lot,00016.jpg,train
5,plane,00017.jpg,train
2,helicopter,00018.jpg,train
0,car,00019.jpg,train
1,harbor,00020.jpg,train
0,car,00021.jpg,train
6,runway_mark,00022.jpg,train
0,car,00023.jpg,train
0,car,00024.jpg,train
7,ship,00025.jpg,train
6,runway_mark,00026.jpg,train
6,runway_mark,00027.jpg,train
8,stadium,00028.jpg,train
4,parking_lot,00029.jpg,train
1,harbor,00030.jpg,train
2,helicopter,00031.jpg,train
7,ship,00032.jpg,train
2,helicopter,00033.jpg,train
5,plane,00034.jpg,train
6,runway_mark,00035.jpg,train
4,parking_lot,00036.jpg,train
4,parking_lot,00037.jpg,train
3,oil_gas_field,00038.jpg,train
0,car,00039.jpg,train
5,plane,00040.jpg,train
1,harbor,00041.jpg,train
7,ship,00042.jpg,train
1,harbor,00043.jpg,train
5,plane,00044.jpg,train
3,oil_gas_field,00045.jpg,train
7,ship,00046.jpg,train
6,runway_mark,00047.jpg,train
5,plane,00048.jpg,train
0,car,00049.jpg,train
2,helicopter,00050.jpg,train
0,car,00051.jpg,train
1,harbor,00052.jpg,train
6,runway_mark,00053.jpg,train
7,ship,00054.jpg,train
9,storage_tank,00055.jpg,train
7,ship,00056.jpg,train
6,runway_mark,00057.jpg,train
5,plane,00058.jpg,train
1,harbor,00059.jpg,train
9,storage_tank,00060.jpg,train
4,parking_lot,00061.jpg,train
9,storage_tank,00062.jpg,train
4,parking_lot,00063.jpg,train
1,harbor,00064.jpg,train
2,helicopter,00065.jpg,train
8,stadium,00066.jpg,train
7,ship,00067.jpg,train
4,parking_lot,00068.jpg,train
7,ship,00069.jpg,train
0,car,00070.jpg,train
3,oil_gas_field,00071.jpg,train
0,car,00072.jpg,train
6,runway_mark,00073.jpg,train
0,car,00074.jpg,train
5,plane,00075.jpg,train
4,parking_lot,00076.jpg,train
3,oil_gas_field,00077.jpg,train
0,car,00078.jpg,train
0,car,00079.jpg,train
